"","Ingles","Espanol"
"1222","unacceptable","inaceptable"
"1223","controls","controles"
"1224","age","edad"
"1225","presence","presencia"
"1226","particularly","particularmente"
"1227","add","adir"
"1228","recommendations","recomendaciones"
"1229","opening","apertura"
"1230","easy","cil"
"1231","Approve","aprobar"
"1232","completely","completamente"
"1233","far","lejos"
"1234","nica","nica"
"1235","communities","comunidades"
"1236","Oriental","oriental"
"1237","Institution","instituciã"
"1238","specifically","concretamente"
"1239","provided","previsto"
"1240","high","alta"
"1241","benefit","beneficio"
"1242","September","septiembre"
"1243","tracing","seguimiento"
"1244","change","cambiar"
"1245","iraq","iraq"
"1246","to take advantage of","aprovechar"
"1247","wait","espera"
"1248","situations","situaciones"
"1249","to thank","agradecer"
"1250","think","pensar"
"1251","both","ambas"
"1252","transportation","transportes"
"1253","lend","prestar"
"1254","firm","firme"
"1255","tax","impuesto"
"1256","medium","medianas"
"1257","East","oriente"
"1258","taken","tomado"
"1259","spoken","hablado"
"1260","observed","observaciã"
"1261","automatic","automã"
"1262","center","centro"
"1263","tests","pruebas"
"1264","negotiate","negociaciã"
"1265","want","desea"
"1266","gratitude","agradecimiento"
"1267","gicos","gicos"
"1268","SME","pyme"
"1269","consider","consideraciã"
"1270","been","habido"
"1271","ecolã","ecolã"
"1272","even","siquiera"
"1273","Ukraine","ucrania"
"1274","legal","legal"
"1275","permanent","permanente"
"1276","consists","consiste"
"1277","reached","alcanzado"
"1278","decided","decidido"
"1279","observations","observaciones"
"1280","cost","coste"
"1281","civilians","civiles"
"1282","effectively","efectivamente"
"1283","approach","planteamiento"
"1284","November","noviembre"
"1285","test","prueba"
"1286","we can","podremos"
"1287","will follow","seguirã"
"1288","minimum","mã­nimo"
"1289","defend","defender"
"1290","parliaments","parlamentos"
"1291","immigrants","inmigrantes"
"1292","annual","anual"
"1293","difference","diferencia"
"1294","different","distintas"
"1295","potential","potencial"
"1296","promote","promociã"
"1297","diverse","diversos"
"1298","true","verdadera"
"1299","good","bueno"
"1300","light","luz"
"1301","winged","alado"
"1302","acts","hechos"
"1303","to debate","debatir"
"1304","applause","aplausos"
"1305","expenditure","gasto"
"1306","orãa","orã­a"
"1307","substances","sustancias"
"1308","deputy","diputado"
"1309","product","producto"
"1310","it implies","implica"
"1311","elaboration","elaboraciã"
"1312","to receive","recibir"
"1313","parliamentary","parlamentaria"
"1314","able","capaz"
"1315","misfortune","desgracia"
"1316","deser","merece"
"1317","diseases","enfermedades"
"1318","green","verde"
"1319","minorities","minorã­as"
"1320","included","incluido"
"1321","wrong","mal"
"1322","hands","manos"
"1323","different","diferente"
"1324","human","humana"
"1325","sources","fuentes"
"1326","challenges","retos"
"1327","guarantees","garantã­as"
"1328","probably","probablemente"
"1329","table","mesa"
"1330","exchange","intercambio"
"1331","ores","ores"
"1332","treatment","trato"
"1333","recent","reciente"
"1334","happen","pasar"
"1335","determined","determinados"
"1336","diversity","diversidad"
"1337","recommend","recomendaciã"
"1338","Reservations","reservas"
"1339","vãa","vã­a"
"1340","basis","fundamento"
"1341","produced","producido"
"1342","own","propias"
"1343","related","relacionadas"
"1344","absolute","absoluto"
"1345","request","solicitud"
"1346","lament","lamento"
"1347","progress","progresos"
"1348","decide","decidir"
"1349","insurance","seguros"
"1350","fraud","fraude"
"1351","examine","examinar"
"1352","to elaborate","elaborar"
"1353","rules","reglas"
"1354","treatment","tratamiento"
"1355","electronic","electrã"
"1356","view","visiã"
"1357","frequency","frecuencia"
"1358","working","trabajando"
"1359","position","cargo"
"1360","ãºtil","ãºtil"
"1361","foresee","prevã"
"1362","hope","esperanza"
"1363","requires","requiere"
"1364","regulaciã","regulaciã"
"1365","together","juntos"
"1366","remove","eliminar"
"1367","guidelines","directrices"
"1368","October","octubre"
"1369","protocol","protocolo"
"1370","provide","proporcionar"
"1371","laws","leyes"
"1372","normative","normativa"
"1373","we find","encontramos"
"1374","Experts","expertos"
"1375","He said","dijo"
"1376","affected","afectados"
"1377","waters","aguas"
"1378","petitions","peticiones"
"1379","Advance","avance"
"1380","modify","modificaciã"
"1381","grade","grado"
"1382","community","comunitarios"
"1383","area","rea"
"1384","limit","lã­mite"
"1385","Sessions","sesiones"
"1386","crucial","crucial"
"1387","contains","contiene"
"1388","certain","cierta"
"1389","Evolution","evoluciã"
"1390","intergovernmental","intergubernamental"
"1391","game","juego"
"1392","humanitarian","humanitaria"
"1393","pollution","contaminaciã"
"1394","neighbors","vecinos"
"1395","organisms","organismos"
"1396","understand","entender"
"1397","diverse","diversas"
"1398","based","basada"
"1399","we could","podrã­amos"
"1400","brief","breve"
"1401","load","carga"
"1402","we support","apoyamos"
"1403","I give","doy"
"1404","respect","respetar"
"1405","passengers","pasajeros"
"1406","we want","deseamos"
"1407","correct","correcta"
"1408","note","nota"
"1409","urgent","urgente"
"1410","call","llamamiento"
"1411","carries","lleva"
"1412","judicial","judicial"
"1413","settled down","establecido"
"1414","nuclear","nucleares"
"1415","places","pone"
"1416","raised","planteado"
"1417","wellness","bienestar"
"1418","existence","existencia"
"1419","support","apoya"
"1420","conscious","conscientes"
"1421","worries","preocupa"
"1422","course","curso"
"1423","urgency","urgencia"
"1424","industrial","industrial"
"1425","exactly","exactamente"
"1426","Payments","pagos"
"1427","acts","actos"
"1428","did","hizo"
"1429","schengen","schengen"
"1430","conclude","concluir"
"1431","extremely","sumamente"
"1432","Independent","independiente"
"1433","EC","ce"
"1434","go","vã­as"
"1435","coherent","coherente"
"1436","specific","especã­ficas"
"1437","future","futura"
"1438","continue","continuaciã"
"1439","Doubts","dudas"
"1440","assume","asumir"
"1441","impose","imponer"
"1442","period","periodo"
"1443","born","llevado"
"1444","mission","misiã"
"1445","demand","demanda"
"1446","guarantee","garantã­a"
"1447","leo","leo"
"1448","press","prensa"
"1449","less","menor"
"1450","to call","llamar"
"1451","merchandise","mercancã­as"
"1452","start","comenzar"
"1453","face","cara"
"1454","perfectly","perfectamente"
"1455","globalization","globalizaciã"
"1456","nde","nde"
"1457","filed","presentadas"
"1458","we make","hacemos"
"1459","mobility","movilidad"
"1460","governance","gobernanza"
"1461","ãas","ã­as"
"1462","meat","carne"
"1463","additional","adicionales"
"1464","limits","lã­mites"
"1465","comes","viene"
"1466","regulations","reglamentos"
"1467","pensions","pensiones"
"1468","margin","margen"
"1469","lines","lã­neas"
"1470","pl","pl"
"1471","presents","presenta"
"1472","query","consulta"
"1473","terrorists","terroristas"
"1474","recuperaciã","recuperaciã"
"1475","institutional","institucional"
"1476","medicines","medicamentos"
"1477","local","local"
"1478","personally","personalmente"
"1479","previous","anteriores"
"1480","some","ciertos"
"1481","nicos","nicos"
"1482","officials","funcionarios"
"1483","we ask","pedimos"
"1484","gas","gas"
"1485","accompanies","acompaã"
"1486","certainly","ciertamente"
"1487","families","familias"
"1488","tecnolã","tecnolã"
"1489","vital","vital"
"1490","following","siguientes"
"1491","show","demostrar"
"1492","supply","suministro"
"1493","manifest","manifiesto"
"1494","professional","profesional"
"1495","numerous","numerosas"
"1496","structure","estructura"
"1497","believe","cree"
"1498","Economies","economã­as"
"1499","Portugal","portugal"
"1500","rumanãa","rumanã­a"
"1501","amsterdam","amsterdam"
"1502","subsidiarity","subsidiariedad"
"1503","pose","plantear"
"1504","fiscal","fiscales"
"1505","adored","ado"
"1506","enough","suficientemente"
"1507","gicas","gicas"
"1508","natural","naturales"
"1509","forget","olvidar"
"1510","agencies","agencias"
"1511","effective","efectiva"
"1512","July","julio"
"1513","breast","seno"
"1514","reasonable","razonable"
"1515","figures","cifras"
"1516","socialist","socialista"
"1517","inclusive","inclusiã"
"1518","Cyprus","chipre"
"1519","election","elecciã"
"1520","Poland","polonia"
"1521","penal","penal"
"1522","I mean","refiero"
"1523","to intervene","intervenir"
"1524","nero","nero"
"1525","ntico","ntico"
"1526","structures","estructuras"
"1527","defender","defensor"
"1528","requirements","exigencias"
"1529","answers","respuestas"
"1530","actuaciã","actuaciã"
"1531","happens","ocurre"
"1532","commissioners","comisarios"
"1533","get in","entrar"
"1534","genã","genã"
"1535","celebrate","celebrar"
"1536","joint","conjunta"
"1537","interventions","intervenciones"
"1538","error","error"
"1539","renewable","renovables"
"1540","to be made","hacerse"
"1541","true","verdadero"
"1542","asses","culos"
"1543","growing","creciente"
"1544","night","noche"
"1545","essentials","esenciales"
"1546","relative","relativos"
"1547","voice","voz"
"1548","constitutional","constitucional"
"1549","full","plena"
"1550","control","controlar"
"1551","exploit","explotaciã"
"1552","enough","suficientes"
"1553","societies","sociedades"
"1554","credibility","credibilidad"
"1555","citizen","ciudadano"
"1556","muddy","barroso"
"1557","infrastructure","infraestructuras"
"1558","short","corto"
"1559","included","incluidos"
"1560","influence","influencia"
"1561","virtue","virtud"
"1562","conciliaciã","conciliaciã"
"1563","conversations","conversaciones"
"1564","maintenance","mantenimiento"
"1565","Right","correcto"
"1566","sample","muestra"
"1567","coming","procedentes"
"1568","techniques","cnicas"
"1569","central","centrales"
"1570","enlarge","ampliar"
"1571","reo","reo"
"1572","concrete","concretos"
"1573","represent","representan"
"1574","speaks","habla"
"1575","they live","viven"
"1576","prop","propã"
"1577","speakers","oradores"
"1578","continent","continente"
"1579","family","familia"
"1580","studies","estudios"
"1581","etc","etc"
"1582","advantage","ventajas"
"1583","Balkans","balcanes"
"1584","numerous","numerosos"
"1585","Sweden","suecia"
"1586","weather","clima"
"1587","powers","poderes"
"1588","military","militares"
"1589","aware","consciente"
"1590","put","puesta"
"1591","tenãa","tenã­a"
"1592","natural","natural"
"1593","subsidies","subvenciones"
"1594","do","hagan"
"1595","banks","bancos"
"1596","few","pocos"
"1597","third","tercera"
"1598","firmly","firmemente"
"1599","propose","proponer"
"1600","It depends","depende"
"1601","resolutions","resoluciones"
"1602","finish","terminar"
"1603","pass","pasada"
"1604","clear","claras"
"1605","presentaciã","presentaciã"
"1606","truly","verdaderamente"
"1607","meetings","reuniones"
"1608","Bulgaria","bulgaria"
"1609","ntica","ntica"
"1610","impossible","imposible"
"1611","line","nea"
"1612","order","pedido"
"1613","they want","desean"
"1614","sito","sito"
"1615","present","presentes"
"1616","petrã","petrã"
"1617","extremely","extremadamente"
"1618","become","convertirse"
"1619","special","especiales"
"1620","convinced","convencido"
"1621","ready","dispuestos"
"1622","hear","escuchar"
"1623","apply","aplica"
"1624","flat","plano"
"1625","left","quedado"
"1626","amã","amã"
"1627","efficient","eficaces"
"1628","organs","rganos"
"1629","disease","enfermedad"
"1630","open","abierto"
"1631","April","abril"
"1632","full","completo"
"1633","time","tiempos"
"1634","commissions","comisiones"
"1635","beings","seres"
"1636","repercussions","repercusiones"
"1637","considerable","considerable"
